"Notice ID","Title","Description","Current Response Date","Last Modified Date","Last Published Date","Contract Opportunity Type","POC Information","Active/Inactive","Awardee","Contract Award Number","Contract Award Date","NAICS","PSC","Modification Number","Set Aside"
"1282A723R0018","Wolf Creek JCC Electrical Rehab","Work for this project requires the contractor to be responsible for supplying all labor, materials, equipment, utilities, miscellaneous items, freight and delivery and all necessary valid licenses for the work summarized as follows: 1. Various electrical rehab work in multiple buildings at the Wolf Creek Job Corps Center. NOTE: This ammendment is to add a SF1442.  NOTE: The amedment is to extend the reposne date until October 20, 2023.   ","Nov 03, 2023 03:00 PM EDT","Oct 31, 2023","Oct 31, 2023","Solicitation","Bradley Higley","Active","N/A","N/A","N/A","Commercial and Institutional Building Construction","REPAIR OR ALTERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS","N/A","Total Small Business Set-Aside (FAR 19.5)"
"1240LU24B0002","Site Visit - GAOA Lolo Recreation Site Water System Replacements","Z- GAOA Lolo Recreation Site Water System Replacements on the Lolo National Forest  - SITE VISIT NOTICE ONLY, Interested vendors must inspect the site on their own before 11/30/2023, prior to bidding! Project Locations.  The project is located at various recreation sites throughout the Lolo National Forest shown on the vicintity Map and listed below:Bend Guard Station – Plains/Thompson Falls Ranger District, Sanders County, Lee Creek Campground – Missoula Ranger District, Missoula County, Grizzly Campground – Missoula Ranger District, Missoula County & Seeley Lake Campground – Seeley Lake Ranger District, Missoula County. The contractor shall furnish all labor, transportation, equipment, material, supervision, and expertise necessary to accomplish the work at each site.  The scope of work at each site is slightly different in nature, details of the work at each site are described below: Bend Guard Station – This project includes installation of new waterline from existing well to cookhouse, connection to existing well and connection to existing water service piping within cookhouse, installation of lateral line over to stock tank with non-potable water hydrant, installation lateral line to flushing hydrant controlled with ball valve, and replacement of piping and appurtenances within the cookhouse building.  Additional valves, pressure switches, and junctions will also be required.  Lee Creek Campground – This project includes the replacement of all water system lines and four water spigots within the Lee Creek Campground. A new pumphouse and new inner workings such as pressure tanks are also included as optional bid items.  Grizzly Campground – This project includes coordinating with power utility company to bring power into the campground, a new pumphouse/control room, remove existing hand pump and installing new pump, new waterline between pump and pumphouse/control room, and one hydrant with concrete splash pad.  The contract will also include an option item to install an additional water line to second hydrant.  Seeley Lake Campground – This project will include the replacement of a segment of waterline and the associated hydrants and pipe junctions that have been damaged at the Seeley Lake Campground.   Construction Magnitude is between $250,000 and $500,000 Period of Performance: 05/01/2024 to 10/01/2025 ALL Solicitation documents will be posted in Mid-December under this solicitation number.      ","Jan 11, 2024 03:00 PM MST","Oct 31, 2023","Oct 31, 2023","Special Notice","Lisa Rakich","Active","N/A","N/A","N/A","Other Heavy and Civil Engineering Construction","MAINTENANCE OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS","N/A","N/A"
"12363N23Q4200","Region 1 – Region 4 Forest Engineering and Road Maintenance (FERM) Blanket Purchase Agreement","12363N23Q4200 This is a combined synopsis/solicitation for commercial products or commercial services prepared in accordance with the format in subpart  12.6, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation and proposals are being requested. PROJECT DESCRIPTION: Region 1 – Region 4 Forest Engineering and Road Maintenance (FERM) Blanket Purchase Agreement The Region 1 – Region 4 Forest Engineering and Road Maintenance (FERM) Blanket Purchase Agreement is a National BPA that will consist of a variety of work including both Road Maintenance service types of work and Road Construction types of work. The BPA will have a period of performance from summer 2023 through July 2033 and can be utilized on all Region 1 – Region 4 Federal Forests and Grasslands and is available for all federal agencies to utilize. This solicitation is issued as a request for quotation (RFQ). This solicitation will remain Open and Continuous to add vendors when determined necessary for the 10-year period it is active. Make sure your firm is updated and registered in the System for Award Management system (SAM) and current to conduct government business. Due to recent storm damage, emergency repairs are necessary to repair road infrastructure and we expect to issue calls before the closing date. As vendors are being evaluated for zones, we may issue call orders to early offerors before the due date. Please read the entire solicitation thoroughly to ensure all requirements in your response are included.  PROJECT LOCATION: Projects shall covers 10 states including the following national forests and national grasslands; Region 1 areas are on the Beaverhead-Deerlodge, Bitterroot, Custer-Gallatin, Flathead, Helena-Lewis and Clark, Idaho Panhandle, Kootenai, Lolo, and Nez Perce-Clearwater National Forests and the Little Missouri, Grand River, Cedar River, and Sheyenne National Grasslands. Region 4 areas are on the Boise, Bridger-Teton, Caribou-Targhee, Payette, Salmon-Challis, Sawtooth, Ashley, Dixie, Fishlake, Humboldt-Toiyabe, Manti-La Sal, and Uinta-Wasatch-Cache National Forests and the Curlew National Grassland. The terrain varies and can have moderate hills on some areas and steep grades in others. Soil conditions vary as well, from soft and sandy to compacted and rocky. Contractors shall furnish all labor, supervision, equipment, materials, transportation, supplies (unless specified elsewhere as Government-furnished), and incidentals required to accomplish specified work in compliance with the terms, specifications, and provisions of the contract. Work is estimated to begin around late July 2023. Engineering point of contact is Annora Nelson, annora.nelson@usda.gov. NAICS 237310 with size standard $45 mil. This project is set aside 100% for small business. ALL QUOTES SHALL BE EMAILED TO: catherine.whitted@usda.gov & sam.cook@usda.gov & B_01_QU.w25l9s1k2vemtdp3@u.box.com on or BEFORE JUNE 30, 2023, 4:30 PM PACIFIC DAYLIGHT TIME. All documents will be submitted electronically; follow this naming convention for your 2 attachments: R1-R4 FERM-VendorName-Quote     AND        R1-R4 FERM-VendorName-Technical.","Jun 30, 2023 04:30 PM PDT","Oct 31, 2023","Oct 31, 2023","Combined Synopsis/Solicitation","Annora Nelson | Catherine Whitted","Active","N/A","N/A","N/A","Highway, Street, and Bridge Construction","CONSTRUCTION OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS","N/A","Total Small Business Set-Aside (FAR 19.5)"
"57-49023-NR-22","The U.S. Department of Agriculture (USDA) seeks to lease the following space in Nephi, Utah","The USDA seeks to lease the following space (see attached for details) in Nephi, Utah.  See attached ","Mar 01, 2023 05:00 PM EST","Oct 31, 2023","Oct 31, 2023","Presolicitation","Korinna Katharos","Active","N/A","N/A","N/A","Lessors of Nonresidential Buildings (except Miniwarehouses)","LEASE/RENTAL OF OFFICE BUILDINGS","N/A","N/A"
"12FPC424Q0005","General Clerk Services for NRCS NY State Offices","***NOTE*** This presolicitation notice supercedes the previous presolicitation notice ids: 12FPC424Q0001 & 12FPC424Q0001, which are obsolete and cancelled.  All future details regarding the ""General Clerk Services for NRCS NY State Offices"" shall be located under notice id: 12FPC424Q0005. Project Location:  The USDA Natural Resources Conservation Service (NRCS) offices throughout New York State Pre-Solicitation Notice:  The Farm Production and Conservation Business Center intends to award a Blanket Purchase Agreement with a 5 year ordering period.  The government will use a competitive RFQ process.  The solicitation number will be 12FPC424Q0005. USDA intends to award a Firm Fixed Price Blanket Purchase Agreementt in response to this solicitation. No questions regarding this forthcoming solicitation will be answered at this time. Project Description:  The USDA Natural Resources Conservation Service (NRCS) requires administrative support services at various NRCS Field Office(s) throughout the state of New York. NRCS-NY will require General Clerk Services to be provided by a contractor for a number of offices to be determined annually. NRCS NY has 46 offices across NYS but will not require a contractor for every office. The contractor must exhibit the ability to provide geographic flexibility in the provision of services allowing for growth or reduction of the workforce at the various locations. Business Size:  This project is set-aside for Service-Disabled Veteran Owned Small Businesses (SDVOSB) using NAICS Code 561110 with a size standard of $12.5 million. Solicitation:  The official solicitation package and its attachments to include detailed specifications will be issued and available on or about November 6th, 2023 and will be posted to SAM.gov.  Contractors are expected to provide detailed quotes and any other information required for submission to the government for review.  This is the preliminary notice of a solicitation that will follow.  The responses will be due approximately 20 days after the solicitation issue date.  The specific date and details will be announced in the solicitation that will follow this notice.  No hardcopies or email copies of the solicitation will be provided.   Quote Submission:  Offerors must have a Unique Entity Identifier (UEI) and be registered and active in the System for Award Management (SAM) http://www.sam.gov in order to be eligible for award.  Electronic quotes will be accepted per the terms of the solicitation that will follow this notice.","Nov 06, 2023 01:00 PM EST","Oct 31, 2023","Oct 31, 2023","Presolicitation","Julie Gavin | Shermeka Showers","Active","N/A","N/A","N/A","Office Administrative Services","SUPPORT- ADMINISTRATIVE: OTHER","N/A","Service-Disabled Veteran-Owned Small Business (SDVOSB) Set-Aside (FAR 19.14)"
"12505B24Q0006","Service Contract for Thermo iCAP 6300 Duo View ICP-OES Spectrometer","A market survey is being conducted to determine if there are adequate Small Business, SBA certified HUBZone, SBA-certified 8(a), Women-Owned, or Service-Disabled Veteran-Owned Small Business (SDVOSB) contractors available for a proposed project who meet the specific criteria outlined below. This is a SOURCES SOUGHT NOTICE ONLY. This is not a solicitation Announcement, Request for Quote, or Invitation for Bid. It does not constitute any commitment by the Government. No award will result from this notice. The purpose is to conduct market research to gain knowledge of potentially qualified sources and to determine the capability of Small Business and/or Large Business companies to provide the supplies/services described below. Responses to this Sources Sought Notice will be used by the Government to make an appropriate acquisition decision. Department of Agriculture requests responses from ALL socioeconomic categories in order to gain a more complete understanding of the market for these products and service. The USDA Agricultural Research Service (ARS) will not award a contract on the basis of responses or pay for the preparation of any information submitted. Respondents will not be notified of the results of this notice. After completing an analysis of the responses, the Government will determine whether to limit competition to 8(a), HUBZone, SDVOSB, Women-Owned, or other small business firms, or to proceed with issuing an unrestricted solicitation, inviting full and open competition. The NAICS code for the expected acquisition is 811310, with a Size Standard of $12.5 million and the PSC Code is J066. Scope of Work: The contractor shall provide all necessary labor, parts, and materials to service contract for a Thermo iCAP 6300 Duo View ICP-OES Spectrometer which is used to analyze digested plant tissue, media, water, and fertilizer samples for elemental composition.  Approximately 12,000-15,000 samples are analyzed annually. The ICP-OES needs to be properly maintained to ensure these samples are analyzed accurately and serviced promptly when issues arise to minimize downtime.  In addition, an autosampler is required to analyze this volume of samples and it must be maintained to ensure the accuracy of a high throughput of samples.  A service contract for a base year and four option years with a service provider for the service and maintenance of the existing Thermo iCAP 6300 Duo View ICP-OES Spectrometer will guarantee that properly trained individuals with access to proprietary software and parts will repair and maintain the ICP-OES and Cetac autosampler to ensure they are operating accurately.  . Capability Statement: Companies who have the experience, as well as an interest in doing business with ARS, should submit a Capabilities Statement which, for this notice, is not expected to be a proposal, but rather short statements regarding the company’s ability to demonstrate their expertise and experience in relation to the areas specified in this notice. In addition to the Capabilities Statement, companies should complete the attached Sources Sought Response Form and indicate whether they are a Small Business, SBA-certified HUBZone, SBA-certified 8(a), SDVOSB, or Women-Owned Small Business. To be eligible, all vendors must be registered in the System for Award Management (SAM) with a current and active registration. A SAM UEI number is required in order to register in SAM. A vendor can contact SAM by calling 1-866-606-8220 or e-mail at www.sam.gov. NO EXCEPTIONS. Vendor must include their UEI# on their capability statements. To be eligible, all vendors must also be registered in SAM under the specific NAICS code listed as part of this sources sought. If a prospective vendor is not registered under the specified NAICS code and would qualify to be registered under it then they must update their SAM registration prior to providing a capabilities statement. Submitting a Capability Statements: Responses should be submitted via email by Friday, November 3, 2023 at 2:00 p.m. (Central Time). Telephone inquiries will not be accepted. Questions should be directed to Melissa Grice at melissa.grice@usda.gov. Disclaimer: This notice does not obligate the Government to award a contract or otherwise pay for the information provided in response. The Government reserves the right to use information provided by respondents for any purpose deemed necessary and legally appropriate.  Respondents are also advised that under no obligation to acknowledge receipt of information or provide feedback about any of the information received.  After review of the responses received, the Government may issue a pre-solicitation synopsis and solicitation. No proprietary, sensitive, confidential or classified information shall be included with your response. The Government reserves the right to use any non-proprietary technical information in any resultant solicitation.","Nov 03, 2023 02:00 PM CDT","Oct 31, 2023","Oct 31, 2023","Solicitation","Missy Grice","Active","N/A","N/A","N/A","Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance ","MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT","N/A","N/A"
"12805B24Q0006","Installation of Cool Cells into Existing Greenhouses","10/31/2023 - extended to Wednesday 11/08/2023. 10/24/2023 - Answers to RFI 1 uploaded. Mike Bernal, point of contact for site visit alternate phone number is Cell: 970-371-5774. This is a combined synopsis/solicitation for commercial services prepared in accordance with the format in FAR subpart 12.06, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotes are being requested and a written solicitation will not be issued. The solicitation number is 12805B24Q0006 and is issued as a request for quotation (RFQ). This solicitation document incorporates those provisions and clauses in effect through Federal Acquisition Circular 2023-08. The associated NAICS Code is 238220 and the Small Business Size Standard is $19M. The USDA, Agricultural Research Service – Crops Research Laboratory, Fort Collins, CO has a construction requirement for the Installation of Cools Cells into Existing Greenhouses as per the SOW. The Government intends to award a firm fixed price construction purchase order. The requirements are further detailed in the attached Requirements Document. The DELIVERY ADDRESS is: USDA ARS Crops Research Laboratory 1701 Centre Avenue Fort Collins, CO Clay Center, NE 80526 DOCUMENTS TO BE INCLUDED IN QUOTE:  In order to be considered for award, Offerors shall respond by: 1) See RFQ Section L.3. page 24 for the required documents to be included in quote.   2) Have an Active SAM.gov registration and complete the Representations in FAR 52.204-54; the Representation and Certification section should also be completed electronically in the System for Award Management (SAM) at www.sam.gov. Any amendment and documents related to this procurement will be available electronically at the Government Point of Entry (sam.gov). FAR clauses 52.212-1, 52.212-2, 52.212-3, 52.212-4 and 52.212-5 (and any addenda to those clauses) are included in the attached clauses and provisions document.  Additionally, other contract requirements and terms/conditions can be located in the same document. The Government anticipates award of a contract resulting from this solicitation to the responsible offeror whose quote conforms to the specifications that will be the most advantageous to the Government in accordance with FAR 13.106-2 considering three major areas: technical acceptance, past performance and price.  Quotes will be evaluated by performing a comparative evaluation in accordance with FAR 13.106-2(b)(3) to determine which quote represents the Lowest Price Technically Acceptable.  The full evaluation of offers details is provided in the attached clauses and provisions document. All sources wishing to quote shall furnish a quotation by 2:30 p.m. Central Time, on or before Wednesday 11/08/2023. Quotations are to be sent via email to Joseph Covarrubio at joseph.covarrubio@usda.gov . Failure to provide the required information in the requested format may result in quotes not being considered for award. Attached Provisions/Clauses apply to this RFQ and any subsequent award.","Nov 08, 2023 02:30 PM CST","Oct 31, 2023","Oct 31, 2023","Combined Synopsis/Solicitation","Joseph Covarrubio","Active","N/A","N/A","N/A","Plumbing, Heating, and Air-Conditioning Contractors","REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS","N/A","Total Small Business Set-Aside (FAR 19.5)"
"12405B24Q0001","Air Handler Unit Repairs","Air Handler Unit Repairs in accordance with the attached RFQ and SOW.   Q&A document posted on 10/31/2023","Nov 06, 2023 03:00 PM CST","Oct 31, 2023","Oct 31, 2023","Solicitation","Frank Palmer","Active","N/A","N/A","N/A","Plumbing, Heating, and Air-Conditioning Contractors","MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT","N/A","Total Small Business Set-Aside (FAR 19.5)"
"","Mt. Hood National Forest Campground Prospectus","This prospectus is being issued to solicit applications for a concession campground special use permit(s).To provide high quality public service in the operation and maintenance of Government owned recreation facilities located on the Mt. Hood National Forest, a single permit or multiple permits will be issued. Recreation sites and facilities are organized into distinct ""Concession Offering Areas."" Concession Offering Areas strategically focus on sites that are geographically and/or administratively related. The hope is that these areas will allow for greater application flexibility for prospective applicants. Each offering has been balanced with areas that are centrally located, have access roads, and provide significant revenue opportunities. Interested parties may bid on one, multiple, or all Concession Offering Areas. Applicants should specify if they will accept less locations applied for if they are bidding on multiple locations. Of note, sites listed as “fire affected” were impacted by the 2020 Lionshead, Riverside, and White River Fires. The permit(s) will include the following areas and sites: • Rock Creek Offering - 5 sites • Summit Lake Offering - 4 sites • Trillium Lake Offering - 16 sites • Zigzag Offering - 9 sites • Clackamas River Offering - 15 sites • Rainbow Kingfisher Offering - 8 sites","Nov 29, 2023 05:00 PM PST","Oct 31, 2023","Oct 31, 2023","Special Notice","Karina Hawley, Special Uses Program Manager","Active","N/A","N/A","N/A","All Other Amusement and Recreation Industries","OPERATION OF RECREATIONAL BUILDINGS","N/A","N/A"
"12441924R0001","Black Mountain Campground Repair - North Carolina","This request for proposal is for the Furnishing of all labor, equipment, and materials, to accomplish the campground repair. This project is located at the Black Mountain campground on the Appalachian Ranger District, Yancey County North Carolina near the town of Burnsville. A site visit will be held for this project and is scheduled for November 06, 2023 at9:00AM EST; located on site. Contact pedro.bonachea@usda.gov by COB 02 November to confirm site visit. Questions Will be due November 13, 2023 4:00 p.m. EST. Proposals are due November 21, 2023 5:00 p.m. EST.","Nov 21, 2023 05:00 PM EST","Oct 31, 2023","Oct 31, 2023","Solicitation","Pedro Bonachea | Mark Miller","Active","N/A","N/A","N/A","Highway, Street, and Bridge Construction","REPAIR OR ALTERATION OF RECREATION FACILITIES (NON-BUILDING)","N/A","Total Small Business Set-Aside (FAR 19.5)"
